  1.000000000000000E-003  2.718281828459045E-016  3.000000000000000E-016
  2.000000000000000E-003  7.389056098930650E-016  9.000000000000000E-016
  3.000000000000000E-003  2.008553692318767E-015  2.700000000000000E-015
  4.000000000000000E-003  5.459815003314423E-015  8.100000000000000E-015
  5.000000000000000E-003  1.484131591025766E-014  2.430000000000000E-014
  6.000000000000000E-003  4.034287934927351E-014  7.290000000000001E-014
  7.000000000000000E-003  1.096633158428458E-013  2.187000000000000E-013
  8.000000000000000E-003  2.980957987041728E-013  6.561000000000002E-013
  9.000000000000001E-003  8.103083927575399E-013  1.968300000000001E-012
  1.000000000000000E-002  2.202646579480676E-012  5.904900000000002E-012
  1.100000000000000E-002  5.987414171519803E-012  1.771470000000001E-011
  1.200000000000000E-002  1.627547914190045E-011  5.314410000000003E-011
  1.300000000000000E-002  4.424133920089229E-011  1.594323000000001E-010
  1.400000000000001E-002  1.202604284164783E-010  4.782969000000003E-010
  1.500000000000001E-002  3.269017372472134E-010  1.434890700000001E-009
  1.600000000000001E-002  8.886110520507936E-010  4.304672100000003E-009
  1.700000000000001E-002  2.415495275357547E-009  1.291401630000001E-008
  1.800000000000001E-002  6.565996913733121E-009  3.874204890000003E-008
  1.900000000000001E-002  1.784823009631891E-008  1.162261467000001E-007
  2.000000000000001E-002  4.851651954097955E-008  3.486784401000003E-007
  2.100000000000001E-002  1.318815734483229E-007  1.046035320300001E-006
  2.200000000000001E-002  3.584912846131642E-007  3.138105960900003E-006
  2.300000000000001E-002  9.744803446249041E-007  9.414317882700008E-006
  2.400000000000001E-002  2.648912212984385E-006  2.824295364810003E-005
  2.500000000000002E-002  7.200489933738690E-006  8.472886094430008E-005
  2.600000000000002E-002  1.957296094288423E-005  2.541865828329003E-004
  2.700000000000002E-002  5.320482406018080E-005  7.625597484987008E-004
  2.800000000000002E-002  1.446257064291501E-004  2.287679245496103E-003
  2.900000000000002E-002  3.931334297144112E-004  6.863037736488308E-003
  3.000000000000002E-002  1.068647458152469E-003  2.058911320946492E-002
  3.100000000000002E-002  2.904884966524804E-003  6.176733962839477E-002
  3.200000000000002E-002  7.896296018268238E-003  0.185302018885184     
  3.300000000000002E-002  2.146435797859206E-002  0.555906056655553     
  3.400000000000002E-002  5.834617425274673E-002   1.66771816996666     
  3.500000000000002E-002  0.158601345231346        5.00315450989998     
  3.600000000000003E-002  0.431123154711532        15.0094635296999     
  3.700000000000003E-002   1.17191423728029        45.0283905890998     
  3.800000000000003E-002   3.18559317571147        135.085171767299     
  3.900000000000003E-002   8.65934004239962        405.255515301898     
  4.000000000000003E-002   23.5385266837027        1215.76654590570     
  4.100000000000003E-002   63.9843493530073        3647.29963771709     
  4.200000000000003E-002   173.927494152055        10941.8989131513     
  4.300000000000003E-002   472.783946822948        32825.6967394538     
  4.400000000000003E-002   1285.16001143598        98477.0902183613     
  4.500000000000003E-002   3493.42710574863        295431.270655084     
  4.600000000000003E-002   9496.11942060278        886293.811965252     
  4.700000000000003E-002   25813.1288619016        2658881.43589576     
  4.800000000000004E-002   70167.3591209788        7976644.30768727     
  4.900000000000004E-002   190734.657249517        23929932.9230618     
  5.000000000000004E-002   518470.552858726        71789798.7691854     
  5.100000000000004E-002   1409349.08242699        215369396.307556     
  5.200000000000004E-002   3831008.00071674        646108188.922669     
  5.300000000000004E-002   10413759.4330295        1938324566.76801     
  5.400000000000004E-002   28307533.0327481        5814973700.30402     
  5.500000000000004E-002   76947852.6514235        17444921100.9121     
  5.600000000000004E-002   209165949.601309        52334763302.7362     
  5.700000000000004E-002   568571999.933617        157004289908.209     
  5.800000000000004E-002   1545538935.59017        471012869724.626     
  5.900000000000005E-002   4201210403.79069        1413038609173.88     
  6.000000000000005E-002   11420073898.1574        4239115827521.63     
  6.100000000000005E-002   31042979357.0207        12717347482564.9     
  6.200000000000005E-002   84383566687.4187        38152042447694.7     
  6.300000000000004E-002   229378315946.971        114456127343084.     
  6.400000000000004E-002   623514908081.188        343368382029252.     
  6.500000000000004E-002   1694889244410.41       1.030105146087757E+015
  6.600000000000004E-002   4607186634331.49       3.090315438263271E+015
  6.700000000000005E-002   12523631708422.7       9.270946314789814E+015
  6.800000000000005E-002   34042760499318.9       2.781283894436944E+016
  6.900000000000005E-002   92537817255881.8       8.343851683310832E+016
  7.000000000000005E-002   251543867091927.       2.503155504993250E+017
  7.100000000000005E-002   683767122976304.       7.509466514979750E+017
  7.200000000000005E-002  1.858671745284234E+015  2.252839954493925E+018
  7.300000000000005E-002  5.052393630276391E+015  6.758519863481776E+018
  7.400000000000005E-002  1.373382979540254E+016  2.027555959044533E+019
  7.500000000000005E-002  3.733241996799214E+016  6.082667877133599E+019
  7.600000000000005E-002  1.014800388113946E+017  1.824800363140080E+020
  7.700000000000005E-002  2.758513454523327E+017  5.474401089420239E+020
  7.800000000000006E-002  7.498416996990546E+017  1.642320326826072E+021
  7.900000000000006E-002  2.038281066512785E+018  4.926960980478215E+021
  8.000000000000006E-002  5.540622384393825E+018  1.478088294143465E+022
  8.100000000000006E-002  1.506097314585116E+019  4.434264882430394E+022
  8.200000000000006E-002  4.093996962127688E+019  1.330279464729118E+023
  8.300000000000006E-002  1.112863754791823E+020  3.990838394187355E+023
  8.400000000000006E-002  3.025077322201314E+020  1.197251518256207E+024
  8.500000000000006E-002  8.223012714623381E+020  3.591754554768620E+024
  8.600000000000006E-002  2.235246603734842E+021  1.077526366430586E+025
  8.700000000000006E-002  6.076030225057217E+021  3.232579099291758E+025
  8.800000000000006E-002  1.651636254994119E+022  9.697737297875277E+025
