  1.000000000000000E-004  8.999600011666422E-004  3.461857536746216E-016
  2.000000000000000E-004  1.799840009332934E-003  3.749171112454874E-016
  3.000000000000000E-004  2.699640031497976E-003 -1.687018580387445E-016
  4.000000000000000E-004  3.599360074660269E-003 -9.384854005034526E-016
  5.000000000000000E-004  4.498705095857331E-003  2.950499593916411E-007
  6.000000000000001E-004  4.498658771637888E-003  8.999014803291669E-004
  7.000000000000001E-004  4.509446649432691E-003  1.788593750674705E-003
  8.000000000000001E-004  4.530835030219346E-003  2.666605567011918E-003
  9.000000000000002E-004  4.562696560391303E-003  3.534064289944423E-003
  1.000000000000000E-003  4.604905371085649E-003  4.391095795330430E-003
  1.100000000000000E-003  4.657337088041638E-003  5.237824464427751E-003
  1.200000000000000E-003  4.719868818361377E-003  6.074373197118916E-003
  1.300000000000000E-003  4.792379134149853E-003  6.900863428303113E-003
  1.400000000000000E-003  4.874748055531401E-003  7.717415144842418E-003
  1.500000000000000E-003  4.966857033595371E-003  8.524146902639220E-003
  1.600000000000001E-003  5.068588933436320E-003  9.321175843592482E-003
  1.700000000000001E-003  5.179828017346900E-003  1.010861771239951E-002
  1.800000000000001E-003  5.300459928186342E-003  1.088658687319105E-002
  1.900000000000001E-003  5.430371672934019E-003  1.165519632597590E-002
  2.000000000000000E-003  5.569451606431519E-003  1.241455772290245E-002
  2.100000000000000E-003  5.717589415314178E-003  1.316478138432533E-002
  2.200000000000000E-003  5.874676102131315E-003  1.390597631467983E-002
  2.300000000000000E-003  6.040603969654003E-003  1.463825021818665E-002
  2.400000000000000E-003  6.215266605368981E-003  1.536170951434012E-002
  2.500000000000000E-003  6.398558866156382E-003  1.607645935325007E-002
  2.599999999999999E-003  6.590376863150008E-003  1.678260363076378E-002
  2.699999999999999E-003  6.790617946777370E-003  1.748024500344193E-002
  2.799999999999999E-003  6.999180691978234E-003  1.816948490332938E-002
  2.899999999999999E-003  7.215964883599049E-003  1.885042355256078E-002
  2.999999999999999E-003  7.440871501961406E-003  1.952315997779916E-002
  3.099999999999999E-003  7.673802708602689E-003  2.018779202448822E-002
  3.199999999999998E-003  7.914661832186511E-003  2.084441637094721E-002
  3.299999999999998E-003  8.163353354581271E-003  2.149312854228704E-002
  3.399999999999998E-003  8.419782897104672E-003  2.213402292417286E-002
  3.499999999999998E-003  8.683857206932251E-003  2.276719277640667E-002
  3.599999999999998E-003  8.955484143668020E-003  2.339273024636730E-002
  3.699999999999998E-003  9.234572666075285E-003  2.401072638226544E-002
  3.799999999999997E-003  9.521032818965575E-003  2.462127114627241E-002
  3.899999999999997E-003  9.814775720244230E-003  2.522445342745685E-002
  3.999999999999997E-003  1.011571354811014E-002  2.582036105459917E-002
  4.099999999999998E-003  1.042375952840848E-002  2.640908080882996E-002
  4.199999999999998E-003  1.073882792213406E-002  2.699069843612659E-002
  4.299999999999998E-003  1.106083401308386E-002  2.756529865967319E-002
  4.399999999999999E-003  1.138969409565683E-002  2.813296519204122E-002
  4.499999999999999E-003  1.172532546279906E-002  2.869378074726212E-002
  4.599999999999999E-003  1.206764639409304E-002  2.924782705272382E-002
  4.699999999999999E-003  1.241657614398861E-002  2.979518486094868E-002
  4.800000000000000E-003  1.277203493017463E-002  3.033593396122182E-002
  4.900000000000000E-003  1.313394392208918E-002  3.087015319107559E-002
  5.000000000000000E-003  1.350222522956679E-002  3.139792044764589E-002
  5.100000000000000E-003  1.387680189162115E-002  3.191931269889299E-002
  5.200000000000001E-003  1.425759786536170E-002  3.243440599467255E-002
  5.300000000000001E-003  1.464453801504221E-002  3.294327547770300E-002
  5.400000000000001E-003  1.503754810124014E-002  3.344599539437376E-002
  5.500000000000001E-003  1.543655477016511E-002  3.394263910544564E-002
  5.600000000000002E-003  1.584148554309476E-002  3.443327909660606E-002
  5.700000000000002E-003  1.625226880593670E-002  3.491798698891431E-002
  5.800000000000002E-003  1.666883379891499E-002  3.539683354911143E-002
  5.900000000000002E-003  1.709111060637956E-002  3.586988869981612E-002
  6.000000000000003E-003  1.751903014673732E-002  3.633722152958659E-002
  6.100000000000003E-003  1.795252416250322E-002  3.679890030286940E-002
  6.200000000000003E-003  1.839152521047005E-002  3.725499246983688E-002
  6.300000000000004E-003  1.883596665199552E-002  3.770556467609462E-002
  6.400000000000004E-003  1.928578264340521E-002  3.815068277227860E-002
  6.500000000000004E-003  1.974090812650987E-002  3.859041182353960E-002
  6.600000000000004E-003  2.020127881923605E-002  3.902481611891618E-002
  6.700000000000005E-003  2.066683120636828E-002  3.945395918058178E-002
  6.800000000000005E-003  2.113750253040179E-002  3.987790377300272E-002
  6.900000000000005E-003  2.161323078250431E-002  4.029671191196928E-002
  7.000000000000005E-003  2.209395469358568E-002  4.071044487353136E-002
  7.100000000000006E-003  2.257961372547400E-002  4.111916320281885E-002
  7.200000000000006E-003  2.307014806219704E-002  4.152292672276198E-002
  7.300000000000006E-003  2.356549860136757E-002  4.192179454270596E-002
  7.400000000000006E-003  2.406560694567161E-002  4.231582506691923E-002
  7.500000000000007E-003  2.457041539445799E-002  4.270507600301447E-002
  7.600000000000007E-003  2.507986693542849E-002  4.308960437023904E-002
  7.700000000000007E-003  2.559390523642679E-002  4.346946650770722E-002
  7.800000000000007E-003  2.611247463732570E-002  4.384471808249889E-002
  7.900000000000008E-003  2.663552014201087E-002  4.421541409768459E-002
  8.000000000000007E-003  2.716298741046040E-002  4.458160890023712E-002
  8.100000000000007E-003  2.769482275091862E-002  4.494335618886480E-002
  8.200000000000006E-003  2.823097311216342E-002  4.530070902174062E-002
